Paragraph,TitleChinese,TitleEnglish,ChineseText,EnglishText,URL,Chapter Chinese,Chapter English,link_title,Book Chinese,Book English,Book period,earliest_date,latest_date,original_translation
158,莊公,,冬，立子頹。,"In winter, the child falls into decay.",https://ctext.org/chun-qiu-zuo-zhuan/zhuang-gong,莊公,,chun-qiu-zuo-zhuan,春秋左傳,Chun Qiu Zuo Zhuan,['Warring States'],-468.0,-300,
0,成公十三年,,十有三年，春，晉侯使郤錡來乞師。,"In the thirteenth year, during spring, the Duke of Jin sent Qie Qi to request troops.",https://ctext.org/chun-qiu-zuo-zhuan/cheng-gong-shi-san-nian,成公十三年,,chun-qiu-zuo-zhuan,春秋左傳,Chun Qiu Zuo Zhuan,['Warring States'],-468.0,-300,
67,外集卷四,,太祝掌六祝之辭：順祝、願豐年也，年祝、求永真也，告祝、祈福祥也，化祝、弭災兵也，瑞祝、逆時雨、寧風旱也，策祝、遠罪病也。,The Great Blessing presides over the six blessings: The First Blessing wishes for a bountiful year; The Second Blessing seeks everlasting truth; The Third Blessing prays for auspicious fortune; The Fourth Blessing dispels calamities and warfare; The Fifth Blessing brings timely rains and calm winds during droughts; The Sixth Blessing removes sins and ailments.,https://ctext.org/caizhong-langji/15,外集卷四,,caizhong-langji,蔡中郎集,Cai Zhong Lang Ji,['Eastern Han'],152.0,192,
3,宣公四年,,赤狄侵齊。,The Red Di invaded Qi.,https://ctext.org/chun-qiu-zuo-zhuan/xuan-gong-si-nian,宣公四年,,chun-qiu-zuo-zhuan,春秋左傳,Chun Qiu Zuo Zhuan,['Warring States'],-468.0,-300,
56,咸之,,巽：魴生淮郤，一轉為百，周流四海，無有患惡。,"Xun: The fish spawn in the Huai River, transforming into a hundred, circulating throughout the four seas, with no worries or evils.",https://ctext.org/jiaoshi-yilin/xian-zhi,咸之,,jiaoshi-yilin,焦氏易林,Jiaoshi Yilin,['Han'],-206.0,220,
35,郡國五,,有沈水,There is Shen water.,https://ctext.org/hou-han-shu/jun-guo-wu,郡國五,,hou-han-shu,後漢書,Hou Han Shu,['Northern and Southern'],420.0,445,
49,五行志下之下,,後四年四月丙辰晦，日有食之，在東井十三度。,"In the fourth year later, on the day of Bingchen in the fourth month, there was a solar eclipse visible at the thirteenth degree of the Eastern Well.",https://ctext.org/han-shu/wu-xing-zhi-xia-zhi-xia,五行志下之下,,han-shu,漢書,Han Shu,['Eastern Han'],36.0,111,
28,坎之,,大過：府藏之富，王以振貸。捕魚河海，罟網多得。,"Great Abundance: The riches stored in the treasury, the king uses to lend support. Fishing in rivers and seas, there are many nets to catch a lot.",https://ctext.org/jiaoshi-yilin/kan-zhi,坎之,,jiaoshi-yilin,焦氏易林,Jiaoshi Yilin,['Han'],-206.0,220,
22,卷十二,Book 12,公孟子謂子墨子曰：「昔者聖王之列也，上聖立為天子，其次立為卿、大夫，今孔子博於詩、書，察於禮樂，詳於萬物，若使孔子當聖王，則豈不以孔子為天子哉？」子墨子曰：「夫知者，必尊天事鬼，愛人節用，合焉為知矣。今子曰：『孔子博於詩書，察於禮樂，詳於萬物』，而曰可以為天子，是數人之齒，而以為富。」,"Gong Mengzi said to Mozi: ""In ancient times, in assigning ranks the sage-kings crowned the most sagacious as emperor, and appointed the others as ministers and secretaries. Now Confucius had an extensive knowledge of poetry and history, a clear understanding of ceremonial and music, and an intimate insight into many things. If it fell upon Confucius to be the sage-king, why should he not make himself emperor?"" Mozi said: The wise man should reverence Heaven and worship the spirits, love the people and economize in expenditures. Combining these we get wisdom. Now, you say, Confucius had an extensive knowledge of poetry and history, a clear understanding of ceremonials and music, and an intimate insight into many things. Therefore, you think, he should be made emperor. This is like estimating one's wealth by counting the number of notches.",https://ctext.org/mozi/book-12,,Book 12,mozi,墨子,Mozi,"['Spring and Autumn', 'Warring States']",-490.0,-221,True
48,昭帝紀,,秋七月乙亥晦，日有蝕之，既。,"In the seventh month of autumn, on the night of the Yihai day, there was a solar eclipse, and it occurred.",https://ctext.org/han-shu/zhao-di-ji,昭帝紀,,han-shu,漢書,Han Shu,['Eastern Han'],36.0,111,
4,交,,次四，往來熏熏，得亡之門。測曰，「往來熏熏」、與神交行也。,"In the fourth line, there is a back and forth, gaining entry through the door of loss. The measurement states, 'This back and forth' is the interaction with the divine.",https://ctext.org/taixuanjing/jiao,交,,taixuanjing,太玄經,Tai Xuan Jing,['Eastern Han'],-33.0,-33,
165,孝靈帝紀,,交阯刺史朱雋討交阯、合浦烏滸蠻，破之。,"Governor of Jiaozhi, Zhu Jun, launched a campaign against the barbarian tribes of Jiaozhi and Hepu Wuhu, and defeated them.",https://ctext.org/hou-han-shu/xiao-ling-di-ji,孝靈帝紀,,hou-han-shu,後漢書,Hou Han Shu,['Northern and Southern'],420.0,445,
6,喪服小記,Sang Fu Xiao Ji,為父後者為出母無服。,The son who was his father's successor (as now head of the family) did not wear mourning for his mother who had been divorced.,https://ctext.org/liji/sang-fu-xiao-ji,喪服小記,Sang Fu Xiao Ji,liji,禮記,Liji,['Warring States'],-475.0,-221,True
0,將威,,武王問太公曰：「將何以為威？何以為明？何以為禁止而令行？」太公曰：「將以誅大為威，以賞小為明；以罰審為禁止而令行。故殺一人而三軍震者，殺之；賞一人而萬人說者，賞之；殺貴大，賞貴小。殺及當路貴重之臣，是刑上極也；賞及牛豎、馬洗、廄養之徒，是賞下通也。刑上極，賞下通，是將威之所行也。」,"King Wu asked the Grand Duke, 'By what means shall we establish authority? By what means shall we achieve clarity? By what means shall we enforce prohibitions and ensure they are carried out?' The Grand Duke replied, 'Authority shall be established by punishing the great, clarity shall be achieved by rewarding the small; prohibitions shall be enforced by careful punishment to ensure compliance. Therefore, if the killing of one person causes the three armies to tremble, then execute that person; if the rewarding of one person causes ten thousand to be delighted, then reward that person; punish the important while rewarding the insignificant. To execute a valuable and prominent minister is to reach the utmost of punishment; to reward those who tend to oxen, wash horses, and raise fodder shows the extent of rewards. The utmost of punishment and the broad outreach of rewards is where authority is realized by the general.'",https://ctext.org/liu-tao/jiang-wei,將威,,liu-tao,六韜,Liu Tao,['Warring States'],-475.0,-221,
3,肺痿肺癰欬嗽上氣病脈證治,,上氣面浮腫，肩息，其脈浮大，不治；又加利尤甚。,"The upper qi is bloated and the face swollen, the breath shallow, and the pulse is floating and large; if not treated, it will worsen significantly. Furthermore, the diuresis will increase even more.",https://ctext.org/jinkui-yaolue/7,肺痿肺癰欬嗽上氣病脈證治,,jinkui-yaolue,金匱要略,Jinkui Yaolue,['Eastern Han'],170.0,219,
11,康誥,Announcement to the Prince of Kang,凡民自得罪：寇攘奸宄，殺越人于貨，暋不畏死，罔弗憝。,"'All who of themselves commit crimes, robbing, stealing, practising villainy and treachery, and who kill men or violently assault them to take their property, being reckless and fearless of death - these are abhorred by all.'",https://ctext.org/shang-shu/announcement-to-the-prince-of-kang,康誥,Announcement to the Prince of Kang,shang-shu,尚書,Shang Shu,['Spring and Autumn'],-772.0,-476,True
12,食貨志下,,此後四年，衛青比歲十餘萬眾擊胡，斬捕首虜之士受賜黃金二十餘萬斤，而漢軍士馬死者十餘萬，兵甲轉漕之費不與焉。於是大司農陳臧錢經用，賦稅既竭，不足以奉戰士。有司請令民得買爵及贖禁錮免臧罪；請置賞官，名曰武功爵。級十七萬，凡直三十餘萬金。諸買武功爵官首者試補吏，先除；千夫如五大夫；其有罪又減二等；爵得至樂卿，以顯軍功。軍功多用超等，大者封侯卿大夫，小者郎。吏道雜而多端，則官職秏廢。,"In the following four years, Wei Qing led over a hundred thousand troops against the Xiongnu, slaying and capturing enemies and receiving rewards of more than two hundred thousand taels of gold. However, over a hundred thousand soldiers and horses of the Han army died, and the expenses for arms and rations were not included in this account. At this time, the Grand Minister of Agriculture, Chen Zang, reported on the financial situation, stating that the taxes were depleted and insufficient to support the soldiers. The officials proposed to allow the people to purchase nobility titles and redeem themselves from imprisonment or expiate their crimes. They suggested establishing a reward office, named the Martial Merit Title, which would require a payment of one hundred seventy thousand and a total of over three hundred thousand taels of gold. Those who purchased the Martial Merit titles would be tried for government positions, with priority given to the first ones; a thousand-man captain would be equivalent to a fifth-rank noble. If someone had committed an offense, their rank would be reduced by two levels. Titles could be raised to the rank of Lei Qing to highlight martial achievements. For those with many military merits, they would be raised to higher ranks, with the greatest granted marquisate and the title of minister, while the lower ranks would be given the title of officer. However, with a mix of various ranks and many variations in duties, official positions became neglected.",https://ctext.org/han-shu/shi-huo-zhi-xia,食貨志下,,han-shu,漢書,Han Shu,['Eastern Han'],36.0,111,
199,孝和孝殤帝紀,,五月辛卯，皇太后詔曰：「皇帝幼沖，承統鴻業，朕且權佐助聽政，兢兢寅畏，不知所濟。深惟至治之本，道化在前，刑罰在後。將稽中和，廣施慶惠，與吏民更始。其大赦天下。自建武以來諸犯禁錮，詔書雖解，有司持重，多不奉行，其皆復為平民。」,"On the day of Xinmao in May, the Empress Dowager decreed: ""The Emperor is still young and inexperienced, inheriting a vast legacy. I shall temporarily assist in the governance, being cautious and respectful, uncertain of what to achieve. I deeply contemplate the foundation of good governance; moral guidance must come first, while punishment comes afterward. I will promote harmony and broadly bestow blessings and benefits, renewing relationships with officials and the populace. There will be a general amnesty throughout the land. Since the establishment of the Wu dynasty, many who have committed offenses and been imprisoned, despite the edicts of release, the authorities have been circumspect, and many have not complied; they shall all return to being commoners.""",https://ctext.org/hou-han-shu/xiao-he-xiao-shang-di-ji,孝和孝殤帝紀,,hou-han-shu,後漢書,Hou Han Shu,['Northern and Southern'],420.0,445,
75,食貨志,,其明年，元封元年，卜式貶為太子太傅。而桑弘羊為治粟都尉，領大農，盡代僅斡天下鹽鐵。弘羊以諸官各自市相爭，物以故騰躍，而天下賦輸或不償其僦費，乃請置大農部丞數十人，分部主郡國，各往往置均輸鹽鐵官，令遠方各以其物如異時商賈所轉,"In the following year, the first year of the Yuanfeng era, Bu Shi was demoted to Grand Tutor of the Crown Prince. Meanwhile, Sang Hongyang was appointed as the Prefect of Grain and took charge of state agriculture, completely replacing the previously established salt and iron system throughout the realm. Hongyang saw that the officials were competing against one another in trade, causing prices to fluctuate, and the taxes on the people often did not cover their rental costs. He then suggested that several dozen people be appointed as deputy ministers in the Ministry of Agriculture, each overseeing the main administrative districts and regions. They were to establish salt and iron officials to regulate the distribution of goods, allowing distant regions to trade as merchant guilds of different times.",https://ctext.org/han-shu/shi-huo-zhi,食貨志,,han-shu,漢書,Han Shu,['Eastern Han'],36.0,111,
4,懿王,,十七年，魯厲公擢薨。,"In the seventeenth year, Duke Li of Lu passed away.",https://ctext.org/zhushu-jinian/yi-wang,懿王,,zhushu-jinian,竹書紀年,Zhushu Jinian,['Warring States'],-475.0,-221,
9,雜事一,,楚共王有疾，召令尹曰：「常侍莞蘇與我處，常忠我以道，正我以義，吾與處不安也，不見不思也。雖然，吾有得也，其功不細，必厚爵之。申侯伯與處，常縱恣吾，吾所樂者，勸吾為之；吾所好者，先吾服之。吾與處歡樂之，不見戚戚。雖然，吾終無得也，其過不細，必前遣之。」令尹曰：「諾。」,"The King of Chu, in illness, summoned the Prime Minister and said: ""The constant attendant Guan Su is with me, always loyal to me in accordance with the way, correcting me with righteousness. When I am with him, I do not feel at ease; I do not see nor think clearly. Nevertheless, I have gained from him; his contributions are significant, and I shall surely reward him with high honors. Duke Shen, when I am with him, always indulges me; what I enjoy, he prompts me to pursue; what I favor, he allows me to have first. When I am happy with him, I do not feel troubled. However, in the end, I gain nothing from him; his faults are considerable, and I shall certainly send him away in the future."" The Prime Minister replied, ""Yes.""",https://ctext.org/xin-xu/za-shi-yi,雜事一,,xin-xu,新序,Xin Xu,['Western Han'],-206.0,9,
2,宣公十七年,,夏，葬許昭公。,"In the summer, the burial of Duke Zhao of Xu took place.",https://ctext.org/gongyang-zhuan/xuan-gong-shi-qi-nian,宣公十七年,,gongyang-zhuan,春秋公羊傳,Gongyang Zhuan,['Western Han'],-206.0,9,
2,秦本紀,,其玄孫曰中潏，在西戎，保西垂。生蜚廉。蜚廉生惡來。惡來有力，蜚廉善走，父子俱以材力事殷紂。周武王之伐紂，并殺惡來。是時蜚廉為紂石北方，還，無所報，為壇霍太山而報，得石棺，銘曰「帝令處父不與殷亂，賜爾石棺以華氏」。死，遂葬於霍太山。蜚廉復有子曰季勝。季勝生孟增。孟增幸於周成王，是為宅皋狼。皋狼生衡父，衡父生造父。造父以善御幸於周繆王，得驥、溫驪、驊騮、騄耳之駟，西巡狩，樂而忘歸。徐偃王作亂，造父為繆王御，長驅歸周，一日千里以救亂。繆王以趙城封造父，造父族由此為趙氏。自蜚廉生季勝已下五世至造父，別居趙。趙衰其後也。惡來革者，蜚廉子也，蚤死。有子曰女防。女防生旁皋，旁皋生太幾，太幾生大駱，大駱生非子。以造父之寵，皆蒙趙城，姓趙氏。,"His great-grandson, named Zhong Yang, resided among the Western tribes, protecting the west of the Chu. He fathered Feilian. Feilian begot E Lai. E Lai was strong, and Feilian was skilled in running, both father and son served in power for King Zhou of the Shang. When King Wu of Zhou attacked Zhou, E Lai was killed. At that time, Feilian was stationed in the north of Zhou, and upon his return, having no means to repay, he made a vow at Mount Tai and was granted a stone coffin, inscribed with the words, 'The Emperor commanded that the father not join in the chaos of the Shang, and has gifted you this stone coffin as a reward.' He died and was buried at Mount Tai. Feilian had another son named Ji Sheng. Ji Sheng fathered Meng Zeng. Meng Zeng was fortunate under King Cheng of Zhou and became known as Zhai Gao Lang. Gao Lang had a son named Heng Fu, who then had a son named Zao Fu. Zao Fu, skilled in driving, gained favor with King Mu of Zhou, receiving the steeds, Wenli, Huali, and Lu'er. During a western hunting expedition, he became so joyful that he forgot to return. When King Xuyuan caused chaos, Zao Fu served as King Mu's charioteer, making a long drive to return to Zhou, covering a thousand miles in a day to quell the unrest. King Mu bestowed Zao Fu with the title of Zao Cheng. From this point, Zao Fu's clan became the Zhao family. Starting from Feilian down to Ji Sheng, five generations lived separately in Zhao. Zhao declined afterwards. E Lai Ge, son of Feilian, died young. He had a son named Nu Fang. Nu Fang fathered Pang Gao, who fathered Tai Ji, who fathered Da Luo, who fathered Fei Zi. Thanks to Zao Fu's favor, they all were bestowed the Zhao surname in Zhao City.",https://ctext.org/shiji/qin-ben-ji,秦本紀,,shiji,史記,Shiji,['Western Han'],-109.0,-91,
2,養,,次二，墨養邪，元函否貞。測曰，「墨養邪」、中心敗也。,"Secondly, the ink nourishes the wicked, the original box denies the upright. It is measured and said, 'The ink nourishes the wicked,' as the center is ruined.",https://ctext.org/taixuanjing/yang,養,,taixuanjing,太玄經,Tai Xuan Jing,['Eastern Han'],-33.0,-33,
2,𠘧部,,鳧：舒鳧，鶩也。从鳥𠘧聲。,"Fú: Shū fú, it refers to the duck. It is derived from the sound made by birds.",https://ctext.org/shuo-wen-jie-zi/bu8,𠘧部,,shuo-wen-jie-zi,說文解字,Shuo Wen Jie Zi,['Eastern Han'],100.0,121,
11,燕二,,「臣以為不若逃而去之。臣以韓、魏循自齊，而為之取秦，深結趙蟀勁之。如是則近於相攻。臣雖為之累燕，奉陽君告朱讙曰：『蘇子怒於燕王之不以吾故，弗予相，又不予卿也，殆無燕矣。』其疑至於此，故臣雖為之不累燕，又不欲王。伊尹再逃湯而之桀，再逃桀而之湯，果與鳴條之戰，而以湯為天子。伍子胥逃楚而之吳，果與伯舉之戰，而報其父之讎。今臣逃而紛齊、趙，始可著於春秋。且舉大事者，孰不逃？桓公之難，管仲逃於魯；陽虎之難，孔子逃於衛；張儀逃於楚，白●逃於秦；望諸相中山也使趙，趙劫之求地，望諸攻關而出逃；外孫之難，薛公釋戴逃出於關，三晉稱以為士。故舉大事，逃不足以為辱矣。」,"""I believe it is better to flee and leave. I will take Han and Wei's pattern from Qi, and use it to obtain Qin, deeply binding Zhao and Chuanjue together. If so, it will be close to mutual attack. Although I am creating obstacles for Yan, I informed Lord Fengyang that Zhu Huang said: 'Su Zi is angry at the King of Yan for failing to regard me and not granting my request, nor has he granted you, so Yan is practically without hope.' Such doubts have reached this point. Therefore, even though I create obstacles for Yan, I do not wish to be king. Yi Yin fled from Tang to Jie, then fled from Jie to Tang, ultimately engaging in battle at Ming Tiao, and he made Tang the Son of Heaven. Wu Zixu fled from Chu to Wu, ultimately battling Bo Ju and avenging his father’s enmity. Now, if I flee and disrupt Qi and Zhao, it should become noteworthy in the Spring and Autumn Annals. Moreover, regarding great matters, who does not flee? In the difficulty of Duke Huan, Guan Zhong fled to Lu; in the difficulty of Yang Hu, Confucius fled to Wei; Zhang Yi fled to Chu, Bai Zhi fled to Qin; in Zhao's campaign against Zhongshan, they summoned Zhao to seek territory; likewise, during the difficulties faced by Wai Sun, Duke Xue escaped out of Guan, and the Three Jin praised him as a gentleman. Therefore, concerning great matters, fleeing cannot be considered a disgrace.""",https://ctext.org/zhan-guo-ce/yan-er,燕二,,zhan-guo-ce,戰國策,Zhan Guo Ce,"['Warring States', 'Western Han']",-350.0,-6,
13,老子甲,Laozi A,天下有始，以為天下母。既得其母，以知其□，復守其母，沒身不殆。塞其兌，閉其門，終身不堇。啟其悶，濟其事，終身□□。□小曰□，守柔曰強。用其光，復歸其明，毋道身央；是胃襲常。,"The world has a beginning; it is regarded as the mother of the world. Once one has attained this mother, one can understand its principle; by returning to guard the mother, one will not be in danger throughout life. Block its openings, close its gates, and one will not suffer hardship in life. Unclog its obstructions, assist its affairs, and one will attain completeness throughout life. The small is called 'small'; to guard the gentle is called 'strong'. Use its light and return to its brightness; do not take away from the center of the self; this is the constant nourishment.",https://ctext.org/mawangdui/laozi-a,,Laozi A,mawangdui,馬王堆,Mawangdui,,,-168,
37,齊太公世家,,是時周室微，唯齊、楚、秦、晉為彊。晉初與會，獻公死，國內亂。秦穆公辟遠，不與中國會盟。楚成王初收荊蠻有之，夷狄自置。唯獨齊為中國會盟，而桓公能宣其德，故諸侯賓會。於是桓公稱曰：「寡人南伐至召陵，望熊山；北伐山戎、離枝、孤竹；西伐大夏，涉流沙；束馬懸車登太行，至卑耳山而還。諸侯莫違寡人。寡人兵車之會三，乘車之會六，九合諸侯，一匡天下。昔三代受命，有何以異於此乎？吾欲封泰山，禪梁父。」管仲固諫，不聽；乃說桓公以遠方珍怪物至乃得封，桓公乃止。,"At that time, the Zhou dynasty was weak, and only Qi, Chu, Qin, and Jin were strong. At the beginning, Jin attended the meeting; however, after Duke Xian died, the state fell into turmoil. Duke Mu of Qin kept a distance, not participating in the alliances of China. Initially, King Cheng of Chu had subdued the Jing and Man tribes, and the barbarian tribes established themselves. Only Qi participated in the alliances of China, and because Duke Huan was able to proclaim his virtue, the other lords gathered to meet. Thus, Duke Huan stated: 'The humble one marched south to Zhaoling, looking towards Xiong Mountain; he marched north against the Mountain Rong, Li Zhi, and Gu Zhu; he marched west to Daxia, crossing the flowing sands; tying the horses and suspending the carts, he ascended the Taihang Mountain and returned at Bei'er Mountain. No lord defied me. I called upon the chariots three times and had the chariots meet six times; nine times gathering the princes, I aimed to rectify the world. In ancient times, the Three Dynasties received orders; what differs from this? I wish to enfeoff Mount Tai and confer the position of Liangfu.' Guan Zhong earnestly advised against it, but was not heeded; he then persuaded Duke Huan that the feudal grants would come only with treasures and rare goods from afar, and Duke Huan then ceased his intentions.",https://ctext.org/shiji/qi-tai-gong-shi-jia,齊太公世家,,shiji,史記,Shiji,['Western Han'],-109.0,-91,
69,孝靈帝紀,,三年春正月，夫餘國遣使貢獻。,"In the first month of spring in the third year, the country of Buyeo sent envoys to pay tribute.",https://ctext.org/hou-han-shu/xiao-ling-di-ji,孝靈帝紀,,hou-han-shu,後漢書,Hou Han Shu,['Northern and Southern'],420.0,445,
0,老子乙,Laozi B,上德不德，是以有德；下德不失德，是以無德。上德無為而無以為也；上仁為之而無以為也。上○為之而有以為也；上禮為之而莫之應也，則攘臂而乃之。故失道而后德，失德而句仁，失仁而句義∠，失義而句禮。夫禮者，忠信之泊也而亂之首也。前識者，道之華也，而愚之首也。是以大丈夫居□□□居其泊；居其實而不居其華。故去罷而取此。,"The highest virtue does not cling to virtue; hence, it possesses virtue. The lowest virtue does not lose virtue; hence, it is without virtue. The highest virtue acts without action, yet achieves its ends; the highest benevolence acts yet is without expectation of reward. The highest righteousness acts and has something to gain; the highest propriety acts and receives no response; thus, it raises its arms and proceeds. Therefore, when the way is lost, then virtue is lost; when virtue is lost, then benevolence is lost; when benevolence is lost, then righteousness is lost; when righteousness is lost, then propriety is lost. Propriety is the foundation of loyalty and trust, and the source of chaos. Foreknowledge is the ornament of the way, yet the source of foolishness. Therefore, a great man resides in his substance, not in his ornament. Thus, abandon the trivial and embrace this.",https://ctext.org/mawangdui/laozi-b,,Laozi B,mawangdui,馬王堆,Mawangdui,,,-168,
11,孝文皇帝紀下,,四年夏四月丙寅晦。日有食之。五月。赦天下。免諸官奴婢為庶人。上幸雍。,"In the fourth year, on the last day of the fourth month of summer, there was a solar eclipse. In the fifth month, a pardon was granted to the entire country, freeing all officials and servants to be common people. The Emperor made a visit to Yong.",https://ctext.org/qian-han-ji/xiao-wen-huang-di-ji-xia,孝文皇帝紀下,,qian-han-ji,前漢紀,Qian Han Ji,['Eastern Han'],198.0,200,
