Paragraph,TitleChinese,ChineseText,Chapter Chinese,Book Chinese,Book period,earliest_date,latest_date,name,identity,ChapterYear
4,昭公五年,秋，七月，公至自晉。,昭公五年,春秋左傳,['Warring States'],-468.0,-300,['公'],['公是从晋国回来的'],-537.0
7,僖公二十四年,夏，狄伐鄭，取櫟，王德狄人，將以其女為后，富辰諫曰，不可，臣聞之曰，報者倦矣，施者未厭，狄固貪惏，王又啟之，女德無極，婦怨無終，狄必為患，王又弗聽，初，甘昭公有寵於惠后，惠后將立之，未及而卒，昭公奔齊，王復之，又通於隗氏，王替隗氏，頹叔桃子曰，我實使狄，狄其怨我，遂奉大叔，以狄師攻王，王御士將禦之，王曰，先后其謂我何，寧使諸侯圖之，王遂出，及坎欿，國人納之，秋，頹叔桃子奉大叔以狄師伐周，大敗周師，獲周公忌父，原伯，毛伯，富辰，王出適鄭，處于氾，大叔以隗氏居于溫。,僖公二十四年,春秋左傳,['Warring States'],-468.0,-300,"['周王', '富辰', '甘昭公', '惠后', '隗氏', '颓叔桃子', '大叔', '周公忌父', '原伯', '毛伯']","['周王是周国的国君', '富辰是周王的臣子，劝谏周王', '甘昭公是惠后宠爱的人，曾逃往齐国', '惠后是周王的后妃，曾宠爱甘昭公', '隗氏是周王曾有往来的女子', '颓叔桃子是曾经使唤过狄族的人，拥立大叔', '大叔是颓叔桃子拥立的人，联合狄族攻打周王', '周公忌父是周国的官员，被俘虏', '原伯是周国的官员，被俘虏', '毛伯是周国的官员，被俘虏']",-636.0
0,莊公二十九年,二十有九年，春，新延廄。,莊公二十九年,春秋左傳,['Warring States'],-468.0,-300,[],[],-665.0
11,宣公元年,元年，春，王正月，公子遂如齊逆女，尊君命也，三月，遂以夫人婦姜至自齊，尊夫人也。,宣公元年,春秋左傳,['Warring States'],-468.0,-300,"['公子遂', '姜氏']","['姜氏是公子遂的妻子', '公子遂是姜氏的丈夫']",-608.0
2,宣公三年,楚子伐陸渾之戎。,宣公三年,春秋左傳,['Warring States'],-468.0,-300,['楚国国君'],['楚国国君是楚国的统治者'],-606.0
21,宣公十年,鄭及楚平，諸侯之師伐鄭，取成而還。,宣公十年,春秋左傳,['Warring States'],-468.0,-300,"['郑国', '楚平']","['郑国是一个国家，不是具体人物', '楚平是楚国的君主']",-599.0
20,文公十五年,齊人來歸子叔姬，王故也。,文公十五年,春秋左傳,['Warring States'],-468.0,-300,['子叔姬'],['被送回齐国的人'],-612.0
18,文公十一年,郕大子朱儒，自安於夫鍾，國人弗徇。,文公十一年,春秋左傳,['Warring States'],-468.0,-300,['朱儒'],['郕地的太子'],-616.0
12,定公十四年,大蒐于比蒲。,定公十四年,春秋左傳,['Warring States'],-468.0,-300,[],[],-496.0
19,襄公二十六年,衛人歸衛姬于晉，乃釋衛侯，君子是以知平公之失政也。,襄公二十六年,春秋左傳,['Warring States'],-468.0,-300,"['卫姬', '卫侯', '平公']","['卫姬是被送回晋国的人', '卫侯是被释放的人', '平公是治理上有失误的人']",-547.0
10,昭公二十七年,郤宛直而和，國人說之，鄢將師為右領，與費無極比而惡之，令尹子常賄而信讒，無極譖郤宛焉，謂子常曰，子惡欲飲子酒，又謂子惡，令尹欲飲酒於子氏，子惡曰，我賤人也，不足以辱令尹，令尹將必來辱，為惠巳甚，吾無以酬之，若何，無極曰，令尹好甲兵，子出之，吾擇焉，取五甲五兵，曰，寘諸門，令尹至，必觀之，而從以酬之，及饗日，帷諸門左，無極謂令尹曰，吾幾禍子，子惡將為子不利，甲在門矣，子必無往，且此役也，吳可以得志，子惡取賂焉而還，又誤群帥，使退其師，曰，乘亂不祥，吳乘我喪，我乘其亂，不亦可乎，令尹使視郤氏，則有甲焉，不往，召鄢將師而告之，將師退，遂令攻郤氏，且爇之，子惡聞之，遂自殺也，國人弗爇，令曰，不爇郤氏，與之同罪，或取一編菅焉，或取一秉稈焉，國人投之，遂弗爇也，令尹炮之，盡滅郤氏之族黨，殺陽令終，與其弟完，及佗，與晉，陳，及其子弟，晉陳之族，呼於國曰，鄢氏費氏，自以為王，專禍楚國，弱寡王室，蒙王與令尹，以自利也，令尹盡信之矣，國將如何，令尹病之。,昭公二十七年,春秋左傳,['Warring States'],-468.0,-300,"['郤宛', '鄢将师', '费无极', '令尹子常', '子恶', '阳令终', '晋陈']","['郤宛是一个正直温和的人，深得国民喜爱。', '鄢将师是右领，与费无极关系密切。', '费无极是一个与鄢将师关系密切的人，诋毁郤宛。', '令尹子常是一个收受贿赂且轻信谗言的人。', '子恶是一个普通人，被费无极利用来陷害郤宛。', '阳令终是郤氏一族的成员，被令尹子常杀害。', '晋陈是一个在国内高喊反对鄢氏费氏的人，其子弟也被杀害。']",-515.0
6,宣公八年,秋，七月，甲子，日有食之，既。,宣公八年,春秋左傳,['Warring States'],-468.0,-300,[],[],-601.0
4,隱公七年,秋，公伐邾。,隱公七年,春秋左傳,['Warring States'],-468.0,-300,[],[],-716.0
0,隱公八年,八年，春，宋公，衛侯遇于垂。,隱公八年,春秋左傳,['Warring States'],-468.0,-300,"['宋公', '卫侯']","['宋公是宋国的国君', '卫侯是卫国的国君']",-715.0
14,定公六年,冬，十二月，天王處于姑蕕，辟儋翩之亂也。,定公六年,春秋左傳,['Warring States'],-468.0,-300,['天王'],['天王是统治者，负责治理国家和处理政务'],-504.0
5,襄公二十九年,晉侯使士鞅來聘。,襄公二十九年,春秋左傳,['Warring States'],-468.0,-300,"['晋侯', '士鞅']","['晋侯是派遣者', '士鞅是被派遣者']",-544.0
19,襄公二十三年,齊侯還自晉，不入，遂襲莒，門于且于，傷股而退，明日將復戰，期于壽舒，杞，殖華還，載甲夜入且于之隧，宿於莒郊，明日，先遇莒子於蒲侯氏，莒子重賂之，使無死，曰，請有盟，華周對曰，貪貨棄命，亦君所惡也，昏而受命，日未中而棄之，何以事君，莒子親鼓之，從而伐之，獲杞梁，莒人，行成，齊侯歸，遇杞梁之妻於郊，使弔之，辭曰，殖之有罪，何辱命焉，若免於罪，猶有先人之敝廬在，下妾不得與郊弔，齊侯弔諸其室。,襄公二十三年,春秋左傳,['Warring States'],-468.0,-300,"['齐侯', '殖华', '蒲侯氏', '杞梁', '杞梁的妻子']","['齐侯是齐国的国君', '殖华是杞国人，随齐侯同行', '蒲侯氏是莒国的国君', '杞梁是杞国人，被莒国抓住', '杞梁的妻子是杞梁的妻子']",-550.0
3,哀公五年,秋，九月，癸酉，齊侯杵臼卒。,哀公五年,春秋左傳,['Warring States'],-468.0,-300,['齐侯杵臼'],['齐侯杵臼是齐国的君主'],-490.0
3,文公二年,夏，六月，公孫敖會宋公，陳侯，鄭伯，晉士縠，盟于垂隴。,文公二年,春秋左傳,['Warring States'],-468.0,-300,"['公孙敖', '宋国国君', '陈国侯', '郑国伯', '士縠']","['公孙敖是参与结盟的人员', '宋国国君是参与结盟的人员', '陈国侯是参与结盟的人员', '郑国伯是参与结盟的人员', '士縠是晋国的人员，参与结盟']",-625.0
2,襄公二十八年,邾子來朝。,襄公二十八年,春秋左傳,['Warring States'],-468.0,-300,['邾国的国君'],['邾国的国君是邾国的统治者'],-545.0
12,成公八年,晉欒書侵蔡，遂侵楚，獲申驪，楚師之還也，晉侵沈，獲沈子揖，初從知范韓也，君子曰，從善如流，宜哉，詩曰，愷悌君子，遐不作人，求善也夫，作人斯有功績矣，是行也，鄭伯將會晉師，門于許東門，大獲焉。,成公八年,春秋左傳,['Warring States'],-468.0,-300,"['欒书', '申驪', '沈子揖', '知氏', '范氏', '韩氏', '郑国国君']","['欒书是晋国的将领', '申驪是楚国被俘虏的人', '沈子揖是沈国的君主', '知氏是晋国的家族或势力', '范氏是晋国的家族或势力', '韩氏是晋国的家族或势力', '郑国国君是郑国的统治者']",-583.0
11,桓公六年,冬，紀侯來朝，請王命以求成于齊，公告不能。,桓公六年,春秋左傳,['Warring States'],-468.0,-300,['纪侯'],['纪侯是来朝见国王的人'],-706.0
14,襄公三十年,蔡景侯為大子般娶于楚，通焉，大子弒景侯。,襄公三十年,春秋左傳,['Warring States'],-468.0,-300,"['蔡景侯', '太子般']","['蔡景侯是太子般的父亲', '太子般是蔡景侯的儿子']",-543.0
1,成公六年,二月，辛巳，立武宮。,成公六年,春秋左傳,['Warring States'],-468.0,-300,[],[],-585.0
5,閔公二年,冬，齊高子來盟。,閔公二年,春秋左傳,['Warring States'],-468.0,-300,['高子'],['齐国的使者'],-660.0
11,昭公二十二年,晉之取鼓也，既獻而反鼓子焉，又叛於鮮虞，六月，荀吳略東陽，使師偽糴者，負甲以息於昔陽之門外，遂襲鼓滅之，以鼓子鳶鞮歸，使涉佗守之。,昭公二十二年,春秋左傳,['Warring States'],-468.0,-300,"['荀吴', '鼓子鳶鞮', '涉佗']","['荀吴是晋国的将领', '鼓子鳶鞮是鼓的统治者', '涉佗是负责守住鼓的人']",-520.0
8,文公十八年,莒弒其君庶其。,文公十八年,春秋左傳,['Warring States'],-468.0,-300,['监氏'],['莒国的国君'],-609.0
3,昭公十一年,五月，甲申，夫人歸氏薨。,昭公十一年,春秋左傳,['Warring States'],-468.0,-300,['夫人归氏'],['去世者'],-531.0
19,僖公三十三年,冬，公如齊朝，且弔有狄師也，反，薨于小寢，即安也。,僖公三十三年,春秋左傳,['Warring States'],-468.0,-300,['鲁公'],['鲁公是前往齐国访问并慰问的鲁国君主'],-627.0
1,昭公四年,夏，楚子，蔡侯，陳侯，鄭伯，許男，徐子，滕子，頓子，胡子，沈子，小邾子，宋世子，佐淮夷會于申。,昭公四年,春秋左傳,['Warring States'],-468.0,-300,"['楚国国君', '蔡国国君', '陈国国君', '郑国国君', '许国国君', '徐国国君', '滕国国君', '顿国国君', '胡国国君', '沈国国君', '小邾国国君', '宋国的世子', '淮夷的辅助者']","['楚国国君是楚国的统治者', '蔡国国君是蔡国的统治者', '陈国国君是陈国的统治者', '郑国国君是郑国的统治者', '许国国君是许国的统治者', '徐国国君是徐国的统治者', '滕国国君是滕国的统治者', '顿国国君是顿国的统治者', '胡国国君是胡国的统治者', '沈国国君是沈国的统治者', '小邾国国君是小邾国的统治者', '宋国的世子是宋国国君的继承人', '淮夷的辅助者是淮夷的支持者或盟友']",-538.0
10,昭公十一年,景王問於萇弘曰：「今茲諸侯，何實吉，何實凶？」對曰：蔡凶，此蔡侯般弒其君之歲也，歲在豕韋，弗過此矣，楚將有之然壅也，歲及大梁，蔡復楚凶，天之道也，楚子在申，召蔡靈侯，靈侯將往，蔡大夫曰，王貪而無信，唯蔡於感，今幣重而言甘，誘我也，不如無往，蔡侯不可，五月，丙申，楚子伏甲而饗蔡侯於申，醉而執之，夏，四月，丁巳，殺之，刑其士七十人，公子棄疾帥師圍蔡，韓宣子問於叔向曰，楚其克乎，對曰，克哉，蔡侯獲罪於其君，而不能其民，天將假手於楚以斃之，何故不克，然肸聞之，不信以幸，不可再也，楚王奉孫吳以討於陳曰，將定而國，陳人聽命，而遂縣之，今又誘蔡而殺其君，以圍其國，雖幸而克，必受其咎，弗能久矣，桀克有緡，以喪其國，紂克東夷，而隕其身，楚小位下，而亟暴於二王，能無咎乎，天之假助不善，非祚之也，厚其凶惡，而降之罰也，且譬之如天，其有五材，而將用之，力盡而敝之，是以無拯，不可沒振。,昭公十一年,春秋左傳,['Warring States'],-468.0,-300,"['景王', '萇弘', '蔡侯般', '楚王', '蔡灵侯', '蔡侯', '公子弃疾', '宣子', '叔向', '孙吴', '桀', '纣王']","['景王是提问者', '萇弘是回答者', '蔡侯般是蔡国的君主', '楚王是楚国的君主', '蔡灵侯是蔡国的君主', '蔡侯是蔡国的君主', '公子弃疾是楚国的将领', '宣子是韩国的官员', '叔向是回答宣子问题的人', '孙吴是楚国的军事力量', '桀是历史上的暴君', '纣王是历史上的暴君']",-531.0
12,襄公十一年,四月，諸侯伐鄭，己亥，齊太子光，宋向戌，先至于鄭，門于東門，其莫，晉荀罃至于西郊，東侵舊許，衛孫林父侵其北鄙，六月，諸侯會于北林，師于向右，還次于瑣，圍鄭，觀兵于南門，西濟于濟隧，鄭人懼，乃行成，秋，七月，同盟于亳，范宣子曰，不慎，必失諸侯，諸侯道敝而無成，能無貳乎，乃盟，載書曰，凡我同盟，毋薀年，毋壅利，毋保姦，毋留慝，救災患，恤禍亂，同好惡，獎王室，或間茲命，司慎司盟，名山名川，群神群祀，先王先公，七姓十二國之祖，明神殛之，俾失其民，隊命亡氏，踣其國家。,襄公十一年,春秋左傳,['Warring States'],-468.0,-300,"['齐国太子光', '宋国的向戌', '晋国的荀罃', '卫国的孙林父', '范宣子']","['齐国的太子', '宋国的官员', '晋国的官员', '卫国的官员', '晋国的官员']",-562.0
2,僖公五年,夏，公孫茲如牟。,僖公五年,春秋左傳,['Warring States'],-468.0,-300,['公孙茲'],['公孙茲是前往牟地的人'],-655.0
12,文公十五年,三月，宋華耦來盟，其官皆從之，書曰，宋司馬華孫，貴之也，公與之宴，辭曰，君之先臣督，得罪於宋殤公，名在諸侯之策，臣承其祀，其敢辱君，請承命於亞旅，魯人以為敏。,文公十五年,春秋左傳,['Warring States'],-468.0,-300,"['司马华孙', '鲁国国君', '督', '宋殇公']","['司马华孙是宋国的官员', '鲁国国君是鲁国的统治者', '督是司马华孙的先祖', '宋殇公是宋国的国君']",-612.0
6,昭公十年,十有二月，甲子，宋公成卒。,昭公十年,春秋左傳,['Warring States'],-468.0,-300,['宋公成'],['宋国的国君'],-532.0
14,昭公二十六年,齊有彗星，齊侯使禳之，晏子曰，無益也，祇取誣焉，天道不諂不貳，其命若之何，禳之，且天之有彗也，以除穢也，君無穢德，又何禳焉，若德之穢，禳之何損，詩曰，惟此文王，小心翼翼，昭事上帝，聿懷多福。厥德不回。以受方國，君無違德，方國將至，何患於彗，詩曰，我無所監，夏后及商，用亂之故，民卒流亡，若德回亂，民將流亡，祝史之為，無能補也，公說，乃止，齊侯與晏子坐于路寢，公歎曰，美哉室，其誰有此乎，晏子曰，敢問何謂也，公曰，吾以為在德，對曰，如君之言，其陳氏乎，陳氏雖無大德，而有施於民，豆區釜鍾之數，其取之公也薄，其施之民也厚，公厚斂焉，陳氏厚施焉，民歸之矣，詩曰，雖無德與女，式歌且舞，陳氏之施，民歌舞之矣，後世若少惰陳氏而不亡，則國其國也已，公曰，善哉，是可若何，對曰，唯禮可以已之，在禮家施不及國，民不遷晨，不移工，賈不變士，不濫官，不滔大夫，不收公利，公曰，善哉，我不能矣，吾今而後知禮之可以為國也，對曰，禮之可以為國也久矣，與天地並，君令臣共，父慈子孝，兄愛弟敬，夫和妻柔，姑慈婦聽，禮也，君令而不違，臣共而不貳，父慈而教，子孝而箴，兄愛而友，弟敬而順，夫和而義，妻柔而正，姑慈而從，婦聽而婉，禮之善物也，公曰善哉，寡人今而後聞此，禮之上也，對曰，先王所稟於天地，以為其民也，是以先王上之。,昭公二十六年,春秋左傳,['Warring States'],-468.0,-300,"['齐侯', '晏子', '文王', '陈氏']","['齐侯是齐国的君主', '晏子是齐国的臣子', '文王是被诗经称赞的君主', '陈氏是齐国的一个家族']",-516.0
4,莊公二十九年,城諸及防。,莊公二十九年,春秋左傳,['Warring States'],-468.0,-300,[],[],-665.0
7,莊公二十七年,二十七年，春，公會杞伯姬于洮，非事也，天子非展義不巡守，諸侯非民事不舉，卿非君命不越竟。,莊公二十七年,春秋左傳,['Warring States'],-468.0,-300,"['鲁公', '杞国的国君姬']","['鲁公是鲁国的国君', '杞国的国君姬是杞国的国君']",-667.0
9,哀公十一年,為郊戰，故公會吳子伐齊，五月，克博，壬申，至于嬴，中軍從王，胥門巢將上軍，王子姑曹將下軍，展如將右軍，齊國書將中軍，高無平將上軍，宗樓將下軍，陳僖子謂其弟書，爾死，我必得志，宗子陽與閭丘明相厲也，桑掩胥御國子，公孫夏曰，二子必死，將戰，公孫夏命其徒歌虞殯，陳子行命其徒具含玉，公孫揮命其徒曰，人尋約，吳髮短，東郭書曰，三戰必死，於此三矣，使問弦多以琴，曰，吾不復見子矣，陳書曰，此行也，吾聞鼓而已，不聞金矣，甲戌，戰于艾陵，展如敗高子，國子敗胥門巢，王卒助之，大敗齊師，獲國書，公孫夏，閭丘明，陳書，東郭書，革車八百乘，甲首三千，以獻于公，將戰，吳子呼叔孫曰，而事何也，對曰，從司馬王賜之甲劍鈹，曰，奉爾君事，敬無廢命，叔孫未能對，衛賜進曰，州仇奉甲從君而拜，公使大史固，歸國子之元，寘之新篋，褽之以玄纁，加組帶焉，寘書于其上，曰，天若不識不衷，何以使下國。,哀公十一年,春秋左傳,['Warring States'],-468.0,-300,"['吴国国君', '胥门巢', '王子姑曹', '展如', '国书', '高无平', '宗楼', '僖子', '国书', '宗子阳', '阊丘明', '桑掩胥', '公孙夏', '陈子行', '公孙挥', '东郭书', '陈书', '吴王', '叔孙', '卫赐进', '大史固']","['吴国国君是吴国的统治者', '胥门巢是吴国上军的指挥官', '王子姑曹是吴国下军的指挥官', '展如是吴国右军的指挥官', '国书是齐国中军的指挥官', '高无平是齐国上军的指挥官', '宗楼是齐国下军的指挥官', '僖子是陈国的人，国书的兄弟', '国书是齐国中军的指挥官', '宗子阳是齐国的将领', '阊丘明是齐国的将领', '桑掩胥是国子的御车者', '公孙夏是齐国的将领', '陈子行是齐国的将领', '公孙挥是齐国的将领', '东郭书是齐国的将领', '陈书是齐国的将领', '吴王是吴国的统治者', '叔孙是吴国的将领', '卫赐进是吴国的将领', '大史固是吴国的官员']",-484.0
8,文公十六年,夏，五月，公四不視朔，疾也，公使襄仲納賂于齊侯，故盟于郪丘。,文公十六年,春秋左傳,['Warring States'],-468.0,-300,"['鲁国国君', '襄仲', '齐侯']","['鲁国的国君', '鲁国的官员', '齐国的国君']",-611.0
5,定公四年,許遷于容城。,定公四年,春秋左傳,['Warring States'],-468.0,-300,[],[],-506.0
4,莊公十一年,十一年，夏，宋為乘丘之役故，侵我，公禦之，宋師未陳而薄之，敗諸鄑，凡師，敵未陳曰敗某師，皆陳曰戰，大崩曰敗績，得雋曰克，覆而敗之曰取某師，京師敗，曰，王師敗績于某。,莊公十一年,春秋左傳,['Warring States'],-468.0,-300,['鲁国国君'],['鲁国国君是鲁国的统治者'],-683.0
7,文公四年,四年，春，晉人歸孔達于衛，以為衛之良也，故免之。,文公四年,春秋左傳,['Warring States'],-468.0,-300,['孔达'],['孔达是卫国人，被晋国释放'],-623.0
5,成公六年,公孫嬰齊如晉。,成公六年,春秋左傳,['Warring States'],-468.0,-300,['公孙嬴齐'],['公孙嬴齐是前往晋国的人'],-585.0
0,襄公二十九年,二十有九年，春，王正月，公在楚。,襄公二十九年,春秋左傳,['Warring States'],-468.0,-300,['国君'],['国君是某个国家的统治者'],-544.0
1,襄公二十八年,夏，衛石惡出奔晉。,襄公二十八年,春秋左傳,['Warring States'],-468.0,-300,['石恶'],['卫国人，逃亡到晋国'],-545.0
20,成公八年,衛人來媵，共姬，禮也，凡諸侯嫁女，同姓媵之，異姓則否。,成公八年,春秋左傳,['Warring States'],-468.0,-300,['共姬'],['陪嫁女子'],-583.0
2,昭公十五年,夏，蔡朝吳出奔鄭。,昭公十五年,春秋左傳,['Warring States'],-468.0,-300,"['蔡国的统治者', '朝国的统治者', '吴国的统治者']","['蔡国的统治者是逃到郑国的统治者之一', '朝国的统治者是逃到郑国的统治者之一', '吴国的统治者是逃到郑国的统治者之一']",-527.0
0,定公六年,六年，春，王正月，癸亥，鄭游速帥師滅許，以許男歸。,定公六年,春秋左傳,['Warring States'],-468.0,-300,"['周天子', '游速', '许男']","['周天子是当时的天子', '游速是郑国的将领', '许男是许国的国君']",-504.0
6,哀公元年,元年，春，楚子圍蔡，報柏舉也，里而栽，廣丈，高倍，夫屯，晝夜九日，如子西之素，蔡人男女以辨，使疆于江汝之間，而還，蔡於是乎請遷于吳。,哀公元年,春秋左傳,['Warring States'],-468.0,-300,"['楚国国君', '子西', '蔡国国君']","['楚国国君是楚国的统治者', '子西是一个以细致著称的人', '蔡国国君是蔡国的统治者']",-494.0
3,文公四年,秋，楚人滅江。,文公四年,春秋左傳,['Warring States'],-468.0,-300,['楚国人'],['楚国人是灭掉江国的执行者'],-623.0
7,僖公五年,冬，晉人執虞公。,僖公五年,春秋左傳,['Warring States'],-468.0,-300,"['晋国人', '虞国国君']","['晋国人是抓住虞国国君的人', '虞国国君是被晋国人抓住的人']",-655.0
8,僖公二十八年,秋，杞伯姬來。,僖公二十八年,春秋左傳,['Warring States'],-468.0,-300,['杞伯姬'],['杞伯姬是一个女性人物，可能是杞国的贵族或王室成员'],-632.0
3,桓公十一年,九月，宋人執鄭祭仲，突歸于鄭，鄭忽出奔衛。,桓公十一年,春秋左傳,['Warring States'],-468.0,-300,['祭仲'],['郑国的大臣'],-701.0
12,昭公二十年,鄭子產有疾，謂子大叔曰，我死，子必為政，唯有德者，能以寬服民，其次莫如猛，夫火烈，民望而畏之，故鮮死焉，水懦弱，民狎而翫之，則多死焉，故寬難，疾數月而卒，大叔為政，不忍猛而寬，鄭國多盜，取人於萑苻之澤，大叔悔之，曰，吾早從夫子，不及此，興徒兵以攻萑苻之盜，盡殺之，盜少止，仲尼曰，善哉，政寬則民慢，慢則糾之以猛，猛則民殘，殘則施之以寬，寬以濟猛，猛以濟寬，政是以和，詩曰，民亦勞之，汔可小康，惠此中國，以綏四方，施之以寬也，毋從詭隨，以謹無良，式遏寇虐，慘不畏明，糾之以猛也，柔遠能邇，以定我王，平之以和也，又曰，不競不絿，不剛不柔，布政優優，百祿是遒，和之至也，及子產卒，仲尼聞之，出涕曰，古之遺愛也。,昭公二十年,春秋左傳,['Warring States'],-468.0,-300,"['子产', '子大叔', '孔子']","['子产是郑国的执政者', '子大叔是子产的继任者', '孔子是评论者']",-522.0
0,僖公元年,元年，春，王正月。,僖公元年,春秋左傳,['Warring States'],-468.0,-300,[],[],-659.0
9,成公八年,叔孫僑如會晉士燮，齊人，邾人，伐剡。,成公八年,春秋左傳,['Warring States'],-468.0,-300,"['叔孙侨', '士燮']","['叔孙侨是鲁国的政治人物', '士燮是晋国的政治人物']",-583.0
10,宣公元年,晉人，宋人，伐鄭。,宣公元年,春秋左傳,['Warring States'],-468.0,-300,[],[],-608.0
10,成公三年,晉郤克，衛孫良夫，伐廧咎如。,成公三年,春秋左傳,['Warring States'],-468.0,-300,"['郤克', '孙良夫']","['晋国的将领', '卫国的将领']",-588.0
0,襄公二十八年,二十有八年，春，無冰。,襄公二十八年,春秋左傳,['Warring States'],-468.0,-300,[],[],-545.0
